"Ticker","Nome","Negócios","Última (R$)","Variação"
"JFEN3","João Fortes","4.200","2,00","+2,04%"
"CEBR6","CEB","4.100","20,95","+0,24%"
"ALUP3","Alupar","3.800","10,48","+0,38%"
"RPMG3","Refinaria de Manguinhos","3.600","2,88","+0,00%"
"COCE5","Coelce","3.500","25,82","+1,45%"
"ALPA3","Alpargatas","3.500","8,98","+3,22%"
"TELB4","Telebras","3.500","8,80","+2,68%"
"BEES4","Banestes","3.500","8,79","-0,11%"
"RDNI3","RNI","3.500","2,59","-2,26%"
"HAGA3","Haga","3.200","1,98","-0,50%"
"EUCA3","Eucatex","3.100","17,79","+2,07%"
"AVLL3","Alphaville","2.900","2,31","-8,33%"
"BSLI4","Banco de Brasília","2.800","8,24","+1,73%"
"MGEL4","Mangels","2.600","5,13","-3,75%"
"BPAC3","Banco BTG Pactual","2.400","22,39","+2,66%"
"TELB3","Telebras","2.300","12,54","-3,54%"
"WHRL3","Whirlpool","2.300","4,43","-0,89%"
"BRSR3","Banrisul","2.200","12,67","+0,16%"
"BPAC5","Banco BTG Pactual","2.200","8,80","-0,56%"
"BALM4","Baumer","2.100","15,99","+4,58%"
"MOAR3","Monteiro Aranha","1.900","203,99","-4,23%"
"MNDL3","Mundial","1.900","19,60","+5,95%"
"CLSC4","Celesc","1.800","91,65","+0,55%"
"CGRA3","Grazziotin","1.500","26,77","-2,73%"
"PINE11","Banco Pine","1.500","6,83","+0,00%"
"NEXP3","Brasil Brokers","1.500","3,79","-2,82%"
"CRPG5","Tronox Pigmentos","1.200","20,69","-0,24%"
"BMEB3","Banco Mercantil do Brasil","1.000","32,20","-2,90%"
"REDE3","Rede Energia","1.000","6,65","+0,45%"
"EQPA3","Equatorial Energia Pará","900","5,78","+0,00%"
"OSXB3","OSX Brasil","900","2,95","+2,79%"
"CRPG6","Tronox Pigmentos","800","20,49","-2,38%"
"CEDO4","Cedro Têxtil","800","19,30","+0,26%"
"BSLI3","Banco de Brasília","800","7,80","+0,00%"
"CGAS5","Comgás","600","128,00","+0,50%"
"PPLA11","PPLA","490","1,05","-4,55%"
"GEPA4","Rio Paranapanema Energia","400","35,49","-1,42%"
"CTKA4","Karsten","400","34,99","+6,03%"
"CPLE5","Copel","400","13,03","-1,29%"
"PINE3","Banco Pine","400","5,00","-2,91%"
"CEBR5","CEB","300","18,40","-0,65%"
"DEXP4","Dexxos","300","9,34","+0,00%"
"GSHP3","General Shopping & Outlets","300","6,12","+0,16%"
"COCE3","Coelce","200","25,60","+2,36%"
"AFLT3","Afluente T","200","7,75","+1,57%"
"PLAS3","Plascar","200","5,80","+0,00%"
"BNBR3","Banco do Nordeste","100","99,45","+0,00%"
"BGIP3","Banese","100","32,00","+0,00%"
"HBTS5","Habitasul","100","29,21","-5,77%"
"BMIN4","Banco Mercantil de Investimentos","100","16,50","-3,23%"
"EALT3","Electro Aço Altona","100","14,60","+0,41%"
"FESA3","Ferbasa","100","11,94","+5,11%"
"NORD3","Nordon","100","5,42","+0,18%"
"DOHL4","Döhler","100","4,05","+4,38%"
"MAPT4","Cemepe","100","3,00","+0,00%"
"BMKS3","Monark","6","375,00","+0,00%"
"CLSC3","Celesc","1.400","83,00","+1,27%"
"AZEV11","Azevedo & Travassos","1.300","0,17","+6,25%"
"SNSY3","Sansuy","800","11,75","+0,86%"
"ENMT3","Energisa MT","700","73,49","+1,23%"
"EQMA3B","Equatorial Maranhão","700","24,66","+0,24%"
"BRSR5","Banrisul","600","16,50","-5,71%"
"ESTR4","Estrela","500","4,45","+3,49%"
"LUXM4","Trevisa","400","5,20","+0,00%"
"FIEI3","Fica","300","10,70","+0,00%"
"CTSA4","Santanense","300","2,54","-1,17%"
"HETA4","Hercules","200","5,51","-3,33%"
"CGAS3","Comgás","100","120,06","+0,05%"
"CEEB3","COELBA","100","37,00","+0,00%"
"MWET4","Wetzel","100","15,29","+5,74%"
"CTSA3","Santanense","100","4,30","+1,18%"
"DTCY3","Dtcom","1.400","3,60","-0,83%"
"BDLL3","Bardella","500","8,60","-6,52%"
"GEPA3","Rio Paranapanema Energia","400","35,00","+1,48%"
"PATI3","Panatlântica","400","32,50","-1,52%"
"FRIO3","Metalfrio","300","279,98","+0,00%"
"EKTR4","Elektro","200","50,49","+0,00%"
"SNSY5","Sansuy","200","4,59","+1,55%"
"AHEB3","São Paulo Turismo","100","45,00","+0,00%"
"CBEE3","Ampla Energia","100","10,00","+19,05%"
"PTNT3","Pettenati","100","9,26","+3,46%"
"PATI4","Panatlântica","100","34,00","+0,00%"
"WLMM4","WLM","100","32,93","+2,11%"
"MAPT3","Cemepe","100","3,05","+0,00%"
"CEED3","CEEE D","500","8,90","-1,33%"
"USIM6","Usiminas","300","8,03","-4,52%"
"BAUH4","Excelsior","200","80,89","-1,22%"
"PEAB3","Participações Aliança da Bahia","200","39,00","-2,50%"
"MRSA3B","MRS Logística","200","28,95","+0,00%"
"AHEB6","São Paulo Turismo","100","55,00","+0,00%"
"BDLL4","Bardella","100","8,03","-1,95%"
"BRKM6","Braskem","400","6,82","-9,07%"
"RPAD5","Alfa Holdings","400","7,50","+7,91%"
"TKNO4","Tekno","100","81,00","-1,15%"
"PEAB4","Participações Aliança da Bahia","100","48,02","+0,00%"
"SOND5","Sondotécnica","100","36,73","-14,58%"
"MRSA6B","MRS Logística","100","25,95","-3,89%"
"IGTI4","Iguatemi","100","9,50","+0,00%"
"IGTI4","Jereissati Participações","100","9,50","+0,00%"
"BMIN3","Banco Mercantil de Investimentos","200","19,50","+8,33%"
"LIPR3","Eletropar","100","39,96","+0,00%"
"EKTR3","Elektro","300","37,72","-9,76%"
"MRSA5B","MRS Logística","100","25,95","-3,89%"
"BALM3","Baumer","100","16,30","-1,81%"
